binID	qvalue	predicted_accuracy	damage_model_p	CtoT-0	CtoT-1	CtoT-2	CtoT-3	CtoT-4
PLV001_012	0.0000	0.9620	0.3950	0.2245	0.1145	0.0770	0.0615	0.0430
PLV001_013	0.0000	0.9970	0.4440	0.2180	0.1130	0.0670	0.0510	0.0420
PLV001_014	0.0000	0.9490	0.4510	0.1890	0.0910	0.0540	0.0420	0.0370
PLV001_015	0.0000	0.9510	0.4750	0.2210	0.1090	0.0600	0.0480	0.0380
PLV001_016	0.0000	0.9930	0.2920	0.3330	0.1965	0.1430	0.1110	0.0910
PLV001_017	0.0000	0.9900	0.2690	0.3075	0.1880	0.1390	0.1110	0.0900
PLV001_018	0.0000	0.9310	0.4450	0.2000	0.0910	0.0630	0.0480	0.0410
PYK001_001	0.0000	0.6030	0.2410	0.0150	0.0120	0.0080	0.0080	0.0060
PYK002_001	0.0000	0.9470	0.2040	0.1800	0.1245	0.0950	0.0830	0.0720
PYK002_002	0.0000	0.8730	0.2280	0.1300	0.0850	0.0640	0.0550	0.0470
PYK002_003	0.0000	0.9320	0.1830	0.1765	0.1270	0.1040	0.0895	0.0780
PYK003_001	0.0000	0.8940	0.1575	0.1150	0.0895	0.0725	0.0700	0.0630
PYK003_002	0.0000	0.8580	0.1420	0.1440	0.1150	0.0940	0.0880	0.0830
PYK003_003	0.0000	0.9580	0.1490	0.1250	0.0970	0.0810	0.0750	0.0690
PYK003_004	0.0000	0.5545	0.2540	0.0710	0.0580	0.0360	0.0310	0.0240
PYK004_001	0.0000	0.5770	0.2380	0.0750	0.0620	0.0400	0.0360	0.0320
PYK004_002	0.0000	0.9025	0.2195	0.0915	0.0660	0.0480	0.0440	0.0380
PYK004_003	0.0000	0.7650	0.1680	0.1020	0.0770	0.0600	0.0580	0.0500
PYK004_004	0.0000	0.9330	0.1890	0.1860	0.1300	0.1060	0.0960	0.0850
PYK005_001	0.0000	0.4630	0.2635	0.0560	0.0430	0.0260	0.0245	0.0210
PYK005_002	0.0000	0.9020	0.1790	0.1030	0.0800	0.0610	0.0580	0.0520
PYK005_003	0.0000	0.8080	0.1740	0.1090	0.0820	0.0670	0.0610	0.0540
PYK005_004	0.0000	0.9990	0.1570	0.0730	0.0585	0.0450	0.0430	0.0400
PYK005_005	0.0000	0.9280	0.1725	0.1790	0.1320	0.1120	0.1010	0.0920
PYK005_006	0.0000	0.6235	0.2080	0.0650	0.0450	0.0360	0.0330	0.0280
PYK005_007	0.0000	0.7500	0.2090	0.0800	0.0700	0.0470	0.0420	0.0410
PYK005_008	0.0000	0.9250	0.1650	0.0970	0.0770	0.0620	0.0570	0.0530
PYK005_009	0.0000	0.6880	0.2420	0.0630	0.0550	0.0320	0.0290	0.0240
PYK005_010	0.0000	0.6190	0.2295	0.0805	0.0620	0.0400	0.0380	0.0320
RIG001_001	0.0000	0.9810	0.2560	0.2750	0.1880	0.1360	0.1030	0.0870
RIG001_002	0.0000	0.9970	0.3480	0.3590	0.2160	0.1390	0.1070	0.0800
RIG001_003	0.0000	0.9740	0.3780	0.2325	0.1430	0.0840	0.0670	0.0530
RIG001_004	0.0000	0.9550	0.2940	0.2300	0.1430	0.0970	0.0790	0.0620
RIG001_005	0.0000	0.9650	0.4280	0.2270	0.1370	0.0770	0.0560	0.0460
RIG001_006	0.0000	0.9830	0.2440	0.2860	0.1840	0.1430	0.1110	0.0900
RIG001_007	0.0000	0.9860	0.3100	0.2440	0.1520	0.1010	0.0820	0.0660
RIG001_008	0.0000	0.9770	0.3135	0.2330	0.1510	0.1020	0.0810	0.0690
RIG001_009	0.0000	0.9910	0.3320	0.2550	0.1600	0.1030	0.0870	0.0705
RIG001_010	0.0000	0.9890	0.2510	0.2870	0.1910	0.1340	0.1140	0.0920
RIG001_011	0.0000	0.9700	0.3245	0.2095	0.1370	0.0860	0.0700	0.0590
RIG001_012	0.0000	0.8560	0.3720	0.1600	0.0950	0.0565	0.0485	0.0405
RIG001_013	0.0000	0.9840	0.3960	0.2240	0.1290	0.0790	0.0620	0.0510
RIG001_014	0.0000	0.9910	0.4225	0.1890	0.1055	0.0570	0.0440	0.0380
